Name	Longitude	Latitude	temp_min	temp_min		Temp min	number of presences		Latitude	number of presences	Mean SSTmin
Fucus serratus	-6.258	55.885	6.472577095	6.5							
Fucus serratus	12.572	55.887	-0.663303912	-0.7							
Fucus serratus	11.92	55.93	-0.250006109	-0.3							
Fucus serratus	10.753	55.93	-0.194330305	-0.2							
Fucus serratus	-3.262	55.964	4.390860081	4.4							
Fucus serratus	11.401	55.97	-0.310510308	-0.3							
Fucus serratus	11.47	55.97	-0.30895111	-0.3							
Fucus serratus	-6.013	55.972	6.381669998	6.4							
Fucus serratus	-3.275	55.976	4.390860081	4.4							
Fucus serratus	12.576	55.98	-0.510492086	-0.5							
Fucus serratus	-2.927	55.982	4.449324131	4.4							
Fucus serratus	-5.339	55.982	5.988530159	6.0							
Fucus serratus	-3.24	55.985	4.390860081	4.4							
Fucus serratus	-5.754	55.988	6.262035847	6.3							
Fucus serratus	-4.765	55.991	5.809185982	5.8							
Fucus serratus	-3.292	56.005	4.390860081	4.4							
Fucus serratus	12.663	56.03	-0.376470804	-0.4							
Fucus serratus	-2.594	56.043	4.600708961	4.6							
Fucus serratus	-3.093	56.047	4.416814804	4.4							
Fucus serratus	11.889	56.055	-0.246679202	-0.2							
Fucus serratus	-2.76	56.056	4.534574032	4.5							
Fucus serratus	11.254	56.078	-0.300792694	-0.3							
Fucus serratus	10.316	56.083	-0.094870672	-0.1							
Fucus serratus	11.973	56.09	-0.237605304	-0.2							
Fucus serratus	11.323	56.091	-0.30554089	-0.3							
Fucus serratus	-5.677	56.096	6.232812881	6.2							
Fucus serratus	12.332	56.12	-0.157839507	-0.2							
Fucus serratus	12.409	56.12	-0.0800061	-0.1							
Fucus serratus	12.495	56.126	-0.205526397	-0.2							
Fucus serratus	-5.593	56.143	6.25999403	6.3							
Fucus serratus	-5.196	56.147	5.855409145	5.9							
Fucus serratus	14.922	56.16	0.339993894	0.3							
Fucus serratus	-2.754	56.163	4.525259018	4.5							
Fucus serratus	10.668	56.17	-0.100006104	-0.1							
Fucus serratus	-2.923	56.171	4.453948021	4.5							
Fucus serratus	-2.823	56.185	4.47999382	4.5							
Fucus serratus	-2.513	56.217	4.640243053	4.6							
Fucus serratus	-4.99	56.238	5.857348919	5.9							
Fucus serratus	-5.594	56.25	6.128516197	6.1							
Fucus serratus	12.522	56.252	-0.150322199	-0.2							
Fucus serratus	-6.104	56.268	6.372468948	6.4							
Fucus serratus	16.489	56.274	0.672731698	0.7							
Fucus serratus	-2.591	56.283	4.591966152	4.6							
Fucus serratus	12.588	56.289	-0.147422999	-0.1							
Fucus serratus	10.997	56.305	-0.264910698	-0.3							
Fucus serratus	16.576	56.307	0.617955387	0.6							
Fucus serratus	-5.604	56.319	6.114179134	6.1							
Fucus serratus	-5.753	56.329	6.190002918	6.2							
Fucus serratus	-3.094	56.38	4.429994106	4.4							
Fucus serratus	16.154	56.383	-6.10E-06	0.0							
Fucus serratus	11.07	56.414	-0.29718101	-0.3							
Fucus serratus	-5.507	56.414	6.04418993	6.0							
Fucus serratus	-5.472	56.414	6.04418993	6.0							
Fucus serratus	-2.759	56.416	4.519674778	4.5							
Fucus serratus	12.582	56.418	-0.154797003	-0.2							
Fucus serratus	12.748	56.471	-0.180650294	-0.2							
Fucus serratus	-6.17	56.478	6.398843765	6.4							
Fucus serratus	10.92	56.48	-0.226151794	-0.2							
Fucus serratus	-6.003	56.484	6.296809196	6.3							
Fucus serratus	-5.596	56.486	6.089335918	6.1							
Fucus serratus	-5.425	56.506	6.01912117	6.0							
Fucus serratus	16.651	56.508	0.463176191	0.5							
Fucus serratus	10.734	56.53	-0.157879904	-0.2							
Fucus serratus	10.658	56.53	-0.119777501	-0.1							
Fucus serratus	10.491	56.549	-0.07961642	-0.1							
Fucus serratus	-6.902	56.549	6.850811005	6.9							
Fucus serratus	-5.511	56.551	6.032897949	6.0							
Fucus serratus	10.408	56.57	-0.071917623	-0.1							
Fucus serratus	12.929	56.575	-0.184625104	-0.2							
Fucus serratus	-6.337	56.576	6.483532906	6.5							
Fucus serratus	-2.51	56.579	4.667490005	4.7							
Fucus serratus	-5.424	56.579	6.012882233	6.0							
Fucus serratus	-6.009	56.623	6.333148003	6.3							
Fucus serratus	-5.994	56.623	6.333148003	6.3							
Fucus serratus	8.238	56.653	1.293995023	1.3							
Fucus serratus	12.658	56.654	-0.210006103	-0.2							
Fucus serratus	-5.335	56.67	5.909994125	5.9							
Fucus serratus	-6.095	56.674	6.389994144	6.4							
Fucus serratus	12.572	56.74	-0.254224598	-0.3							
Fucus serratus	-6.25	56.757	6.480500221	6.5							
Fucus serratus	12.562	56.805	-0.278434485	-0.3							
Fucus serratus	9.18	56.82	1.224838018	1.2							
Fucus serratus	-2.266	56.825	4.821435928	4.8							
Fucus serratus	8.872	56.877	1.442929983	1.4							
Fucus serratus	-5.916	56.897	6.34461689	6.3							
